confidence,evidence_quality,coverage,selective_accuracy,n_auto
0.3,0.1,0.9376,0.847,1412
0.3,0.15,0.9376,0.847,1412
0.3,0.2,0.9356,0.8467,1409
0.3,0.25,0.929,0.8477,1399
0.3,0.3,0.917,0.8494,1381
0.3,0.35,0.8938,0.8514,1346
0.3,0.4,0.8692,0.8541,1309
0.3,0.45,0.8041,0.8629,1211
0.3,0.5,0.7185,0.8752,1082
0.3,0.55,0.6009,0.8895,905
0.3,0.6,0.4834,0.908,728
0.35,0.1,0.9376,0.847,1412
0.35,0.15,0.9376,0.847,1412
0.35,0.2,0.9356,0.8467,1409
0.35,0.25,0.929,0.8477,1399
0.35,0.3,0.917,0.8494,1381
0.35,0.35,0.8938,0.8514,1346
0.35,0.4,0.8692,0.8541,1309
0.35,0.45,0.8041,0.8629,1211
0.35,0.5,0.7185,0.8752,1082
0.35,0.55,0.6009,0.8895,905
0.35,0.6,0.4834,0.908,728
0.4,0.1,0.9349,0.8494,1408
0.4,0.15,0.9349,0.8494,1408
0.4,0.2,0.9329,0.8491,1405
0.4,0.25,0.927,0.8496,1396
0.4,0.3,0.915,0.8512,1378
0.4,0.35,0.8918,0.8533,1343
0.4,0.4,0.8679,0.8554,1307
0.4,0.45,0.8035,0.8636,1210
0.4,0.5,0.7178,0.876,1081
0.4,0.55,0.6009,0.8895,905
0.4,0.6,0.4834,0.908,728
0.45,0.1,0.9263,0.8559,1395
0.45,0.15,0.9263,0.8559,1395
0.45,0.2,0.9243,0.8556,1392
0.45,0.25,0.9183,0.8561,1383
0.45,0.3,0.907,0.8572,1366
0.45,0.35,0.8838,0.8595,1331
0.45,0.4,0.8606,0.8611,1296
0.45,0.45,0.7995,0.8671,1204
0.45,0.5,0.7151,0.8784,1077
0.45,0.55,0.5989,0.8914,902
0.45,0.6,0.4821,0.9091,726
0.5,0.1,0.913,0.8611,1375
0.5,0.15,0.913,0.8611,1375
0.5,0.2,0.911,0.8608,1372
0.5,0.25,0.905,0.8613,1363
0.5,0.3,0.8938,0.8626,1346
0.5,0.35,0.8705,0.865,1311
0.5,0.4,0.8473,0.8668,1276
0.5,0.45,0.7888,0.8729,1188
0.5,0.5,0.7078,0.8818,1066
0.5,0.55,0.5936,0.896,894
0.5,0.6,0.4794,0.9114,722
0.55,0.1,0.8679,0.8822,1307
0.55,0.15,0.8679,0.8822,1307
0.55,0.2,0.8659,0.8819,1304
0.55,0.25,0.8599,0.8826,1295
0.55,0.3,0.8506,0.8837,1281
0.55,0.35,0.83,0.8848,1250
0.55,0.4,0.8068,0.8872,1215
0.55,0.45,0.7537,0.8934,1135
0.55,0.5,0.6793,0.8993,1023
0.55,0.55,0.5724,0.9107,862
0.55,0.6,0.4641,0.9256,699
0.6,0.1,0.8313,0.8954,1252
0.6,0.15,0.8313,0.8954,1252
0.6,0.2,0.83,0.8952,1250
0.6,0.25,0.824,0.8961,1241
0.6,0.3,0.8154,0.8966,1228
0.6,0.35,0.7955,0.8982,1198
0.6,0.4,0.7729,0.9003,1164
0.6,0.45,0.7258,0.9048,1093
0.6,0.5,0.6594,0.9084,993
0.6,0.55,0.5584,0.9203,841
0.6,0.6,0.4535,0.9356,683
0.65,0.1,0.7975,0.9026,1201
0.65,0.15,0.7975,0.9026,1201
0.65,0.2,0.7961,0.9024,1199
0.65,0.25,0.7902,0.9034,1190
0.65,0.3,0.7815,0.904,1177
0.65,0.35,0.7629,0.906,1149
0.65,0.4,0.741,0.9086,1116
0.65,0.45,0.6972,0.9124,1050
0.65,0.5,0.6361,0.9144,958
0.65,0.55,0.5405,0.9263,814
0.65,0.6,0.4429,0.9385,667
0.7,0.1,0.7583,0.9142,1142
0.7,0.15,0.7583,0.9142,1142
0.7,0.2,0.757,0.914,1140
0.7,0.25,0.7523,0.9144,1133
0.7,0.3,0.745,0.9153,1122
0.7,0.35,0.7291,0.9171,1098
0.7,0.4,0.7098,0.9186,1069
0.7,0.45,0.668,0.9225,1006
0.7,0.5,0.6109,0.9228,920
0.7,0.55,0.5226,0.9327,787
0.7,0.6,0.4316,0.9446,650
0.75,0.1,0.7112,0.9318,1071
0.75,0.15,0.7112,0.9318,1071
0.75,0.2,0.7098,0.9317,1069
0.75,0.25,0.7058,0.9323,1063
0.75,0.3,0.6999,0.9336,1054
0.75,0.35,0.6859,0.9332,1033
0.75,0.4,0.668,0.9354,1006
0.75,0.45,0.6288,0.9388,947
0.75,0.5,0.577,0.9379,869
0.75,0.55,0.4954,0.9464,746
0.75,0.6,0.4097,0.9579,617
0.8,0.1,0.6501,0.9469,979
0.8,0.15,0.6501,0.9469,979
0.8,0.2,0.6494,0.9468,978
0.8,0.25,0.6454,0.9475,972
0.8,0.3,0.6401,0.9481,964
0.8,0.35,0.6268,0.9481,944
0.8,0.4,0.6109,0.9489,920
0.8,0.45,0.5777,0.9517,870
0.8,0.5,0.5339,0.9527,804
0.8,0.55,0.4641,0.9571,699
0.8,0.6,0.3878,0.964,584
0.85,0.1,0.5903,0.9584,889
0.85,0.15,0.5903,0.9584,889
0.85,0.2,0.5903,0.9584,889
0.85,0.25,0.587,0.9593,884
0.85,0.3,0.5817,0.96,876
0.85,0.35,0.5724,0.9594,862
0.85,0.4,0.5571,0.9607,839
0.85,0.45,0.5279,0.9635,795
0.85,0.5,0.492,0.9649,741
0.85,0.55,0.4329,0.9678,652
0.85,0.6,0.3652,0.9727,550
0.9,0.1,0.5007,0.9775,754
0.9,0.15,0.5007,0.9775,754
0.9,0.2,0.5007,0.9775,754
0.9,0.25,0.4987,0.9774,751
0.9,0.3,0.496,0.9786,747
0.9,0.35,0.488,0.9782,735
0.9,0.4,0.4781,0.9778,720
0.9,0.45,0.4542,0.9795,684
0.9,0.5,0.4296,0.9815,647
0.9,0.55,0.3831,0.9827,577
0.9,0.6,0.332,0.984,500
